"wsg_code","wsg_name","total_km2","FAB_pct","CRM_pct","OMM_pct","BMP_pct","NRM_pct","commentary"
"CARP","Carp Lake",1794,100,0,0,0,0,"Entirely within FAB."
"CRKD","Crooked River",2172,100,0,0,0,0,"Entirely within FAB."
"FINA","Finlay Arm",7383,0.3,20.2,61.8,10.3,7.4,"Largely OMM (62%) with CRM (20%), BMP (10%), NRM (7%)."
"FINL","Finlay River",5479,0,0,0,30.4,69.6,"Largely NRM (70%) with BMP (30%)."
"FIRE","Firesteel River",4376,0,0,1,99,0,"Almost entirely within BMP (99%)."
"FOXR","Fox River",4279,0,0,0,16.8,83.2,"Largely NRM (83%) with BMP (17%)."
"INGR","Ingenika River",5328,0,0,0.7,99.3,0,"Almost entirely within BMP (99%)."
"LOMI","Lower Omineca River",4013,0,0,100,0,0,"Entirely within OMM."
"MESI","Mesilinka River",3294,0,0,94.8,5.2,0,"Largely OMM (95%) with BMP (5%)."
"NATR","Nation River",6889,49.3,0,50.7,0,0,"Spans OMM (51%), FAB (49%)."
"OSPK","Ospika River",2973,0,60.5,0,0,39.5,"Largely CRM (60%) with NRM (40%)."
"PARA","Parsnip Arm",3729,15.1,31.3,53.5,0,0,"Spans OMM (54%), CRM (31%), FAB (15%)."
"PARS","Parsnip River",5583,28.6,71.4,0,0,0,"Largely CRM (71%) with FAB (29%)."
"PCEA","Peace Arm",5861,0,98.8,1.2,0,0,"Almost entirely within CRM (99%)."
"TOOD","Toodoggone River",4849,0,0,0,100,0,"Entirely within BMP."
"UOMI","Upper Omineca River",3905,0,0,100,0,0,"Entirely within OMM."
