reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date
1,Tributary to Missinka River,125179_us_ef1,00000PARS,,,3.1,3.5,3.8,,,,,3.5,metre tape,2.5,1.8,2.3,,,,,2.2,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,7.7,recording meter,66,recording meter,8.9,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,,,,,,,,10,570328,6052847,GPS General,Same site length as last year. See gps track. Electrofished and Edna sampled.,2025-09-13
2,Tributary to Missinka River,125179_ds_ef1,00000PARS,,,3.2,5.3,3.2,,,,,3.9,metre tape,2.3,2.8,2.9,,,,,2.7,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7.7,recording meter,66,recording meter,8.9,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,570275,6052820,GPS General,Fished from approximately 35m downstream of bridge up to the middle of the bridge. Stop net at the bottom. Exact same site as 2024. Bottom of site wp 430.,2025-09-13
3,Tributary to Table River,125231_ds_ef1,00000PARS,,,5.2,3.5,4.4,,,,,4.4,metre tape,3.3,2.2,3,,,,,2.8,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,9,recording meter,72,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,549934,6065104,GPS General,Fished the exact same site as 2024. Started roughly 50m downstream of the bridge and worked our way up to the middle of the bridge. Bottom of site marked with flagging. Fish pit tagged over 65mm.,2025-09-17
4,Tributary to Table River,125231_us_ef1,00000PARS,,,2.5,3.7,5.6,,,,,3.9,metre tape,1.5,1.7,1.5,,,,,1.6,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,9,recording meter,72,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,549965,6065133,GPS General,Fished from middle of bridge upstream to where channel splits into two. Roughly 50m. Top of site marked with flagging.,2025-09-17
5,Tributary to Kerry Lake,198692_us_ef1,00000CRKD,,,1.7,2.9,2.2,,,,,2.3,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.1,recording meter,188,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511729,6059293,GPS General,Entire site was mostly dewatered with only 3-4 spots even fishable. One fish captured in deepest “pool” (see pool photo).,2025-09-19
6,Tributary to Kerry Lake,198692_us_ef2,00000CRKD,,,3.1,4,5.3,,,,,4.1,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.1,recording meter,188,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511716,6059292,GPS General,Site is intermittently dewatered with significantly less water than in 2024. Still many fish caught - all in deepest pool located on left bank approximately 3m upstream of the flagging. Total area wetted was estimated at 5m squared.,2025-09-19
7,Tributary to Kerry Lake,198692_ds_ef1,00000CRKD,,,3.4,4.1,21,,,,,9.5,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.1,recording meter,188,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511770,6059322,GPS General,Time for widths should be discarded since surveyor did not have the gps on.,2025-09-19
8,Tributary to Kerry Lake,198692_ds_ef2,00000CRKD,,,6,5,5,,,,,5.3,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.1,recording meter,188,recording meter,7.8,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,511752,6059305,GPS General,Fished the outlet pool. This is the same site as 2024. Electrofishing was conducted and fish 60mm or more were PIT tagged. Slightly less water than last year.,2025-09-19
9,Tributary to Parsnip River,199663_ds,00000NA,,,3.8,2.8,1.3,,,,,2.6,metre tape,3.3,2.6,2.5,,,,,2.8,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,FALSE,7,recording meter,310,recording meter,8.2,pH meter (general),clear,abundant,sub-dominant,sub-dominant,none,sub-dominant,dominant,sub-dominant,trace,21-40%,few,,mosses,undercut,gravels,,wetland,,sloping,fines,,shrub,,cobbles,gravels,,,riffle-pool,sinuous,,,,,,,10,515479,6094974,GPS General,Wetland located ~80m downstream. Good flow.  Abundant gravels for 30-40m downstream of culvert.  eDNA sample collected.,2025-09-21
10,Tributary to Parsnip River,199663_us,00000NA,,,4.2,2,3.1,2.3,3,3.3,,3,metre tape,2,2,2.3,2.2,2.2,1.6,,2.1,metre tape,0.2,,,,,,,0.2,metre stick,0.35,,,,0.4,metre stick,3,2.5,3,,2.8,clinometer,low,,7,recording meter,310,recording meter,8.2,pH meter (general),clear,abundant,sub-dominant,sub-dominant,none,sub-dominant,trace,dominant,trace,71-90%,few,evenly distributed,mosses,sloping,fines,cobbles,shrubs,shrub,undercut,fines,,coniferous forest,mature forest,fines,gravels,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,10,515398,6095013,GPS General,"Low gradient stream with significant riparian tree blow down throughout. Very difficult walking so most was done outside of the active channel with spot visits to the stream for measurements/photos completed intermittently for the 600m that was assessed. Wide floodplain within well defined canyon (approximately 15m deep with slopes of ~45°). Healthy riparian, consisting of herb and shrub cover within sparse spruce forest that appears to have been impacted by some sort of beetle or other affliction. Most of the spruce trees were dead with many already fallen down.",2025-09-21
