reference_number,local_name,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,pass_number,ef_seconds,site_length,avg_wetted_width_m,enclosure,voltage,frequency,pulse,make,model,species,life_stage,age,total_num,min_length,max_length,comments
1,125179_us_ef1,7.7,66,clear,electrofishing,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,3,44,48,
1,125179_us_ef1,7.7,66,clear,electrofishing,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,4,87,96,
1,125179_us_ef1,7.7,66,clear,electrofishing,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,135,140,
1,125179_us_ef1,7.7,66,clear,electrofishing,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,adult,,2,153,153,
1,125179_us_ef1,7.7,66,clear,visual observation above water,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,55,55,
1,125179_us_ef1,7.7,66,clear,visual observation above water,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,110,110,
1,125179_us_ef1,7.7,66,clear,visual observation above water,,1,519,45,2.2,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,juvenile,,2,140,140,
2,125179_ds_ef1,7.7,66,clear,electrofishing,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,6,41,48,
2,125179_ds_ef1,7.7,66,clear,electrofishing,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,3,84,109,
2,125179_ds_ef1,7.7,66,clear,electrofishing,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,112,123,
2,125179_ds_ef1,7.7,66,clear,electrofishing,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,adult,,2,148,181,
2,125179_ds_ef1,7.7,66,clear,visual observation above water,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,3,100,110,
2,125179_ds_ef1,7.7,66,clear,visual observation above water,,1,686,35,2.7,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,juvenile,,1,120,120,
3,125231_ds_ef1,9,72,clear,electrofishing,,1,1570,50,2.8,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,7,0,61,
3,125231_ds_ef1,9,72,clear,electrofishing,,1,1570,50,2.8,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,5,89,99,
3,125231_ds_ef1,9,72,clear,electrofishing,,1,1570,50,2.8,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,1,127,127,
3,125231_ds_ef1,9,72,clear,electrofishing,,1,1570,50,2.8,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,adult,,1,143,143,
4,125231_us_ef1,9,72,clear,electrofishing,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,5,56,62,
4,125231_us_ef1,9,72,clear,electrofishing,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,2,99,100,
4,125231_us_ef1,9,72,clear,electrofishing,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,3,121,137,
4,125231_us_ef1,9,72,clear,electrofishing,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,adult,,1,153,153,
4,125231_us_ef1,9,72,clear,electrofishing,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Sucker (General),adult,,1,144,144,
4,125231_us_ef1,9,72,clear,visual observation above water,,1,605,50,1.6,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,110,110,
5,198692_us_ef1,6.1,188,clear,electrofishing,,1,63,16,,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,1,53,53,
6,198692_us_ef2,6.1,188,clear,electrofishing,,1,174,12,,open,250,60,,other,halltech HT2000,Rainbow Trout,fry,,3,47,51,
6,198692_us_ef2,6.1,188,clear,electrofishing,,1,174,12,,open,250,60,,other,halltech HT2000,Rainbow Trout,parr,,7,80,97,
6,198692_us_ef2,6.1,188,clear,visual observation above water,,1,174,12,,open,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,2,90,90,
7,198692_ds_ef1,6.1,188,clear,electrofishing,,1,304,34,,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,6,49,55,
7,198692_ds_ef1,6.1,188,clear,electrofishing,,1,304,34,,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,4,74,95,
7,198692_ds_ef1,6.1,188,clear,visual observation above water,,1,304,34,,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,90,90,
8,198692_ds_ef2,6.1,188,clear,electrofishing,,1,171,4,,open,250,60,,other,halltech HT2000,Rainbow Trout,fry,,1,49,49,
8,198692_ds_ef2,6.1,188,clear,electrofishing,,1,171,4,,open,250,60,,other,halltech HT2000,Rainbow Trout,parr,,9,73,88,
8,198692_ds_ef2,6.1,188,clear,electrofishing,,1,171,4,,open,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,4,112,129,
